id,area_name,pincode
1,Bangalore Bazaar,560001
2,Bangalore,560001
3,Brigade Road,560001
4,Cubban Road,560001
5,Dr. ambedkar veedhi,560001
6,Highcourt,560001
7,Legislators Home,560001
8,Mahatma Gandhi road,560001
9,Narayan Pillai street,560001
10,Rajbhavan,560001
11,Vidhana Soudha,560001
12,Avenue Road,560002
13,Bangalore City,560002
14,Bangalore Corporation building,560002
15,Bangalore Fort,560002
16,Basavaraja Market,560002
17,Cahmrajendrapet,560002
18,Narasimjharaja Road,560002
19,New Tharaggupet,560002
20,Sri Jayachamarajendra road,560002
21,Aranya Bhavan,560003
22,Malleswaram,560003
23,Palace Guttahalli,560003
24,Swimming Pool extn,560003
25,Venkatarangapura,560003
26,Vyalikaval Extn,560003
27,Basavanagudi,560004
28,Lalbagh West,560004
29,Mavalli,560004
30,Pasmpamahakavi Road,560004
31,Shankarpura,560004
32,Visveswarapuram,560004
33,Fraser Town,560005
34,Jeevanahalli,560005
35,J.C.nagar,560006
36,Training Command iaf,560006
37,Agram,560007
38,Air Force hospital,560007
39,H.A.l ii stage,560008
40,Hulsur Bazaar,560008
41,Someswarapura,560008
42,Bangalore Dist offices bldg,560009
43,K. g. road,560009
44,Subhashnagar,560009
45,Bhashyam Circle,560010
46,Industrial Estate,560010
47,Rajajinagar,560010
48,Rajajinagar I block,560010
49,Rajajinagar Ivth block,560010
50,Jayangar Iii block,560011
51,Madhavan Park,560011
52,Science Institute,560012
53,Govindapalya,560013
54,H M t,560013
55,Jalahalli,560013
56,Jalahalli Village,560013
57,Jalahalli East,560014
58,Jalahalli West,560015
59,Kamagondanahalli,560015
60,Doorvaninagar,560016
61,Krishnarajapuram R s,560016
62,Ramamurthy Nagar,560016
63,Bangalore Air port,560017
64,Nal,560017
65,Vimapura,560017
66,Chamrajpet,560018
67,Chamrajpet Bazar,560018
68,Vittalnagar,560018
69,Gaviopuram Extension,560019
70,Gaviopuram Guttanahalli,560019
71,Narasimharaja Colony,560019
72,K.P.west,560020
73,Seshadripuram,560020
74,Gayathrinagar,560021
75,Okalipuram,560021
76,Ramachandrapuram,560021
77,Srirampuram,560021
78,Goraguntepalya,560022
79,Yeshwanthpur Bazar,560022
80,Yeswanthpura,560022
81,Magadi Road,560023
82,Anandnagar,560024
83,H.A. farm,560024
84,Hebbal Kempapura,560024
85,Bangalore Sub fgn post,560025
86,Cmp Centre and school,560025
87,Museum Road,560025
88,Richmond Town,560025
89,Avalahalli,560026
90,Bapujinagar,560026
91,Byatarayanapura,560026
92,Deepanjalinagar,560026
93,Goripalya,560026
94,Goripalya,560026
95,Governmemnt Electric factory,560026
96,Sampangiramnagar,560027
97,Shanthinagar,560027
98,Wilson Garden,560027
99,Tyagrajnagar,560028
100,Dharmaram College,560029
101,Taverekere,560029
102,Adugodi,560030
103,Hosur Road,560030
104,P&t Col. kavalbyrasandra,560032
105,R T nagar,560032
106,Malkand Lines,560033
107,Mandalay Lines,560033
108,Maruthi Sevanagar,560033
109,Agara,560034
110,Kendriya Sadan,560034
111,Koramangala,560034
112,Koramangala I block,560034
113,St. john's medical college,560034
114,Devasandra,560036
115,Krishnarajapuram,560036
116,Doddanekkundi,560037
117,Kundalahalli,560037
118,Marathahalli Colony,560037
119,Rameshnagar,560037
120,Yemalur,560037
121,Indiranagar,560038
122,Indiranagar Com. complex,560038
123,Nayandahalli,560039
124,Chandra Lay out,560040
125,Vijayanagar,560040
126,Vijayanagar East,560040
127,Jayanagar,560041
128,Tilaknagar,560041
129,Sivan Chetty gardens,560042
130,Banaswadi,560043
131,Horamavu,560043
132,Jalavayuvihar,560043
133,Kalyanagar,560043
134,Arabic College,560045
135,Devarjeevanahalli,560045
136,Nagavara,560045
137,Ramakrishna Hegde nagar,560045
138,Venkateshapura,560045
139,Benson Town,560046
140,Austin Town,560047
141,Viveknagar,560047
142,Hoodi,560048
143,Mahadevapura,560048
144,Bhattarahalli,560049
145,Bidrahalli,560049
