id,category
361,"""Social > Food and Dining > Restaurants"""
353,"""Social > Food and Dining > Bagels and Donuts"""
354,"""Social > Food and Dining > Bakeries"""
355,"""Social > Food and Dining > Breweries"""
356,"""Social > Food and Dining > Cafes, Coffee and Tea Houses"""
357,"""Social > Food and Dining > Dessert"""
358,"""Social > Food and Dining > Ice Cream Parlors"""
359,"""Social > Food and Dining > Internet Cafes"""
360,"""Social > Food and Dining > Juice Bars and Smoothies"""
801,"""Social > Food and Dining > Sweet Shopss"""
326,"""Social > Bars"""
327,"""Social > Bars > Hotel Lounges"""
328,"""Social > Bars > Jazz and Blues Cafes"""
329,"""Social > Bars > Sports Bars"""
330,"""Social > Bars > Wine Bars"""
802,"""Social > Bars > Pubs"""
