FIELD NAME,FORM DISPLAY,DESCRIPTION,TYPE,MULTIVALUED,MANDATORY,ALLOWED VALUES,DEFAULT VALUE,DEPENDENCIES,ACTIVATE DEPENDENCY ON,UI ELEMENT PREFIX
cuisine,Cuisine,Cuisine,TEXT,TRUE,TRUE,"North Indian, South Indian, Chinese, Multi Cuisine, Andhra, Hyderabadi, Biryani, Chettinad, Kerala Cuisine, Mughlai, Seafood, Barbeque or Tandoori or Grill, Bengali, Mangalorean, Rajasthani, Gujarati, Maharashtrian, Lucknowi or Awadhi, Kashmiri, Goan, ---------------, Desserts, Snacks, Fast Food, Sweets, Ice Cream, Bakery and Confectionary, Street Food, Chaat, Cakes or Pastries, Juice, Doughnuts, ---------------, Pizza, European or Continental, American, Italian, Thai, Mexican or TexMex, Arabian or Lebanese, Mediterranean, Pan Asian, French, Japanese, Spanish, Tibetan, Korean, Afghani, Indonesian, Malaysian, Greek, Portuguese, Turkish, World Cuisine",,,,
cost_for_two,Average Cost for 2 people,Cost For Two,TEXT,FALSE,TRUE,"Less than Rs 250, Rs 250 to Rs 500, Rs 500 to Rs 1000, 
Rs 1000 to Rs 1500, Rs 1500 to 2000, Rs 2500+",,,,
veg_non_veg,Veg/Non-Veg,Pure Veg or Non-Veg,TEXT,FALSE,TRUE,"Pure Veg,Veg & Non-Veg,Only Non-Veg",,,,
buffet,Buffet,Buffet,TEXT,FALSE,TRUE,"Yes, No",,"buffet_wl_price,
buffet_wd_price,
buffet_el_price,
buffet_ed_price",Yes,
buffet_wl_price,Buffet Weekday Lunch Price (INR),,TEXT,FALSE,TRUE,,,,,Rs
buffet_wd_price,Buffet Weekday Dinner Price (INR),,TEXT,FALSE,TRUE,,,,,Rs
buffet_el_price,Buffet Weekend Lunch Price (INR),,TEXT,FALSE,TRUE,,,,,Rs
buffet_ed_price,Buffet Weekend Dinner Price (INR),,TEXT,FALSE,TRUE,,,,,Rs
credit_cards,Do you accept Credit Cards,Credit Cards,TEXT,FALSE,TRUE,"Yes, No",,,,
breakfast,Does it serve Breakfast?,Serves Breakfast,TEXT,FALSE,TRUE,"Yes, No",,,,
bar,Has Bar Attached?,Bar,TEXT,FALSE,TRUE,"Yes, No",,bar_facilities,Yes,
bar_facilities,Bar Facilites,Bar Facilites,TEXT,TRUE,TRUE,"Full Bar, Wine and Beer only, Wine Only, 
Smoking Allowed, Dance Floor Available",,,,
home_delivery,Do you do home delivery?,Home Delivery,TEXT,FALSE,TRUE,"Yes, No",,"home_maxdis,
home_min_order",Yes,
home_maxdis,Maximum Radius (km),,TEXT,FALSE,TRUE,,,,,
home_min_order,Minimum Order Value (INR),,TEXT,FALSE,TRUE,,,,,Rs
menu,MENU,,PHOTO,TRUE,TRUE,,,,,
outdoor_catering,Outdoor Catering,,TEXT,FALSE,TRUE,"Yes,No",,,,
party_hall,Has Party Hall,,TEXT,FALSE,TRUE,"Yes, No",,,,
reservations,Do you accept reservations?,Reservations,TEXT,FALSE,TRUE,"Yes, No",,,,
parking,Parking Facilites,Parking Facilities,TEXT,TRUE,TRUE,"Valet Parking, Street Parking, Garage Parking,
Parking Not Available",,,,
other_facilities,Other Facilites,Other Facilities,TEXT,TRUE,TRUE,"Air-Conditioned, Television Available,
 Outdoor Seating Available, Takeaway available, Has Free Wifi, Private Dining Room Available, Baby Chair Available, Accessible by Wheelchair, Drive In Restaurant",,,,
